PUMACE10,PUMA_4dig,Column1,county_fip,county_name,GEOID10,NAME10,,,Column1,Column2,Column3,Column4,Column5,Column6,PUMA
104,0104,0104,,,1700104,"Jo Daviess, Carroll, Whiteside & Lee Counties",,,17,1,424202,0500000US17001,17001,Adams,0300
105,0105,0105,161,Rock Island,1700105,Rock Island County,,,17,3,424203,0500000US17003,17003,Alexander,
202,0202,0202,,,1700202,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties",,,17,5,424204,0500000US17005,17005,Bond,0501
202,0202,0202,,,1700202,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties",,,17,7,424205,0500000US17007,17007,Boone,
300,0300,0300,,,1700300,"Adams, Pike, Brown, Schuyler & Mason Counties",,,17,9,424206,0500000US17009,17009,Brown,0300
401,0401,0401,,,1700401,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties",,,17,11,424207,0500000US17011,17011,Bureau,2501
501,0501,0501,,,1700501,"Montgomery, Bond, Clinton, Fayette & Effingham Counties",,,17,13,424208,0500000US17013,17013,Calhoun,0401
600,0600,0600,,,1700600,"Douglas, Edgar, Coles & Cumberland Counties",,,17,15,424209,0500000US17015,17015,Carroll,0104
700,0700,0700,"023, 079, 033, 101, 159, 025, 191",,1700700,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties",,,17,17,424210,0500000US17017,17017,Cass,0401
800,0800,0800,,,1700800,South & Southeast Illinois,,,17,19,424211,0500000US17019,17019,Champaign,2100
900,0900,0900,,,1700900,"Jackson, Williamson, Franklin & Perry Counties",,,17,21,424212,0500000US17021,17021,Christian,1602
1001,1001,1001,,,1701001,"Monroe, Randolph, Washington, Jefferson & Marion Counties",,,17,23,424213,0500000US17023,17023,Clark,0700
1104,1104,1104,,St. Clair,1701104,St. Clair County (Central & Northeast),,,17,25,424214,0500000US17025,17025,Clay,0700
1105,1105,1105,,St. Clair,1701105,"St. Clair County (Northwest, Southwest & Southeast)",,,17,27,424215,0500000US17027,17027,Clinton,0501
1204,1204,1204,,Madison,1701204,Madison County (East),,,17,29,424216,0500000US17029,17029,Coles,0600
1205,1205,1205,,Madison,1701205,"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village",,,17,31,1784766,0500000US17031,17031,Cook,
1300,1300,1300,,Sangamon,1701300,Sangamon County--Springfield City,,,17,33,424218,0500000US17033,17033,Crawford,0700
1500,1500,1500,,Macon,1701500,Macon County--Decatur City,,,17,35,424219,0500000US17035,17035,Cumberland,0600
1602,1602,1602,,,1701602,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties",,,17,39,426598,0500000US17039,17039,De Witt,1602
1701,1701,1701,,Peoria,1701701,Peoria County--Peoria City,,,17,37,422190,0500000US17037,17037,DeKalb,2601
1900,1900,1900,,Tazewell,1701900,Tazewell County,,,17,41,424222,0500000US17041,17041,Douglas,0600
2000,2000,2000,,McLean,1702000,McLean County,,,17,43,422191,0500000US17043,17043,DuPage,
2100,2100,2100,,Champaign,1702100,Champaign County--Champaign & Urbana Cities,,,17,45,424224,0500000US17045,17045,Edgar,0600
2200,2200,2200,,,1702200,"Livingston, Ford, Iroquois & Vermilion Counties",,,17,47,424225,0500000US17047,17047,Edwards,
2300,2300,2300,,Kankakee,1702300,Kankakee County,,,17,49,424226,0500000US17049,17049,Effingham,0501
2400,2400,2400,,LaSalle,1702400,LaSalle County,,,17,51,424227,0500000US17051,17051,Fayette,0501
2501,2501,2501,,,1702501,"Knox, Stark, Bureau, Marshall & Woodford Counties",,,17,53,424228,0500000US17053,17053,Ford,2200
2601,2601,2601,,DeKalb,1702601,DeKalb County,,,17,55,424229,0500000US17055,17055,Franklin,0104
2700,2700,2700,,,1702700,Stephenson & Ogle Counties,,,17,57,424230,0500000US17057,17057,Fulton,
2801,2801,2801,,Winnebago,1702801,Winnebago County (Southeast & West)--Rockford City,,,17,59,424231,0500000US17059,17059,Gallatin,
2901,2901,2901,,,1702901,Winnebago (Northeast) & Boone Counties,,,17,61,424232,0500000US17061,17061,Greene,0401
3005,3005,3005,,Kane,1703005,Kane County (Southeast)--Aurora Township,,,17,63,424233,0500000US17063,17063,Grundy,3700
3007,3007,3007,,Kane,1703007,"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships",,,17,65,424234,0500000US17065,17065,Hamilton,
3008,3008,3008,089,,1703008,Kane County (Northeast)--Elgin (North & Central) & Dundee Townships,,,17,67,424235,0500000US17067,17067,Hancock,0202
3009,3009,3009,,Kane,1703009,Kane County (West),,,17,69,424236,0500000US17069,17069,Hardin,
3102,3102,3102,,Will,1703102,Will County (West Central)--Joliet & Troy Townships,,,17,71,424237,0500000US17071,17071,Henderson,0202
3105,3105,3105,,Will,1703105,Will County (Northwest Central)--Plainfield & Lockport Townships,,,17,73,424238,0500000US17073,17073,Henry,0202
3106,3106,3106,,Will,1703106,Will County (Northwest)--DuPage & Wheatland Townships,,,17,75,424239,0500000US17075,17075,Iroquois,2200
3107,3107,3107,,Will,1703107,"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships",,,17,77,424240,0500000US17077,17077,Jackson,0900
3108,3108,3108,,Will,1703108,Will County (South),,,17,79,424241,0500000US17079,17079,Jasper,0700
3202,3202,3202,,DuPage,1703202,DuPage County (Central)--Milton Township,,,17,81,424242,0500000US17081,17081,Jefferson,1001
3203,3203,3203,,DuPage,1703203,DuPage County (South Central)--Lisle Township,,,17,83,424243,0500000US17083,17083,Jersey,0401
3204,3204,3204,,DuPage,1703204,DuPage County (Southeast)--Downers Grove Township,,,17,85,424244,0500000US17085,17085,Jo Daviess,0104
3205,3205,3205,,DuPage,1703205,DuPage County (East Central)--York Township,,,17,87,424245,0500000US17087,17087,Johnson,
3207,3207,3207,,DuPage,1703207,Dupage County (Northeast)--Addison & Bloomingdale (North) Townships,,,17,89,424246,0500000US17089,17089,Kane,
3208,3208,3208,,DuPage,1703208,"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships",,,17,91,424247,0500000US17091,17091,Kankakee,2300
3209,3209,3209,,DuPage,1703209,DuPage County (Southwest)--Naperville & Winfield (South) Townships,,,17,93,424248,0500000US17093,17093,Kendall,3700
3306,3306,3306,,Lake,1703306,"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships",,,17,95,424249,0500000US17095,17095,Knox,2501
3307,3307,3307,,Lake,1703307,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships",,,17,97,1784796,0500000US17097,17097,Lake,
3308,3308,3308,,Lake,1703308,"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships",,,17,99,422247,0500000US17099,17099,LaSalle,2400
